ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1588729551,2025-06-30T07:22:32.956000,2025-06-30T07:27:30.690000,buy,0.05,0.05,XAUUSD,3295.657,3293.995,3293.995,3300.139,-0.55,0,-8.31,,,sl
1586111291,2025-06-27T07:15:48.080000,2025-06-27T07:20:55.448000,sell,0.03,0.03,XAUUSD,3287.142,3288.54,3288.244,,-0.33,0,-4.19,,,sl
1583682010,2025-06-26T03:38:23.720000,2025-06-26T05:00:28.077000,sell,0.02,0.02,XAUUSD,3337.978,3333.397,3339.784,3332.465,-0.22,0,9.17,,,user
1582441943,2025-06-25T11:17:10.459000,2025-06-25T11:22:39.930000,buy,0.03,0.03,XAUUSD,3329.169,3327.8,3328.089,3334.965,-0.33,0,-4.11,,,sl
1581844873,2025-06-25T05:16:18.898000,2025-06-25T05:19:28.951000,buy,0.03,0.03,XAUUSD,3329.551,3328.938,3328.938,3334.5,-0.33,0,-1.84,,,sl
1581029495,2025-06-24T14:16:20.249000,2025-06-24T14:17:33.966000,buy,0.03,0.03,XAUUSD,3308.708,3309.1420000000003,3307.45,3316.238,-0.33,0,1.31,,,user
1578567474,2025-06-23T13:16:01.046000,2025-06-23T13:17:14.421000,buy,0.03,0.03,XAUUSD,3367.99,3366.808,3366.808,3376.386,-0.33,0,-3.55,,,sl
1573082464,2025-06-19T07:03:54.046000,2025-06-19T07:05:06.557000,buy,0.03,0.03,XAUUSD,3357.905,3356.329,3356.329,3366.559,-0.33,0,-4.73,,,sl
1571058408,2025-06-18T06:32:41.931000,2025-06-18T06:36:00.162000,sell,0.03,0.03,XAUUSD,3382.077,3383.623,3383.623,3375.609,-0.33,0,-4.64,,,sl
1569309442,2025-06-17T09:35:12.688000,2025-06-17T10:22:10.599000,sell,0.04,0.04,BTCUSD,106418.32,106084.3,106504.71,106009.93,-0.64,0,13.36,,,user
1564278918,2025-06-13T09:33:07.379000,2025-06-13T09:33:32.971000,sell,0.02,0.02,XAUUSD,3421.648,3422.7760000000003,3423.21,,-0.22,0,-2.25,,,user
1561856089,2025-06-12T08:30:09.656000,2025-06-12T08:30:59.244000,buy,0.03,0.03,XAUUSD,3360.127,3358.044,3358.346,3370.26,-0.33,0,-6.25,,,sl
1559374545,2025-06-11T06:32:08.484000,2025-06-11T06:50:52.379000,sell,0.04,0.04,BTCUSD,109316.29,109409.2,109409.2,108771.65,-0.64,0,-3.72,,,sl
1559034440,2025-06-11T02:02:48.966000,2025-06-11T02:09:05.732000,sell,0.03,0.03,XAUUSD,3327.778,3329.391,3329.391,,-0.33,0,-4.84,,,sl
1558140409,2025-06-10T13:31:28.867000,2025-06-10T13:33:11.525000,buy,0.03,0.03,XAUUSD,3346.007,3344.009,3344.009,3353.776,-0.33,0,-5.99,,,sl
1555174673,2025-06-09T04:05:59.608000,2025-06-09T04:11:47.848000,buy,0.03,0.03,XAUUSD,3311.749,3310.051,3310.051,3317.87,-0.33,0,-5.1,,,sl
1555096734,2025-06-09T03:01:35.928000,2025-06-09T03:45:54.822000,sell,0.05,0.05,EURUSD,1.1417,1.1414900000000001,1.14218,1.13975,-0.35,0,1.05,,,user
1552567539,2025-06-06T05:31:50.445000,2025-06-06T05:48:13.390000,sell,0.03,0.03,XAUUSD,3368.339,3364.327,3369.759,3363.071,-0.33,0,12.04,,,user
1552565775,2025-06-06T05:30:44.631000,2025-06-06T05:31:10.970000,sell,0.03,0.03,XAUUSD,3369.398,3369.064,3369.727,,-0.33,0,1,,,user
1552444212,2025-06-06T03:46:15.907000,2025-06-06T03:51:50.151000,buy,0.03,0.03,XAUUSD,3370.723,3370.203,3370.203,3375.406,-0.33,0,-1.56,,,sl
1551063987,2025-06-05T11:34:25.714000,2025-06-05T12:17:39.504000,sell,0.02,0.02,XAUUSD,3394.829,3395.597,3397.456,3386.464,-0.22,0,-1.53,,,user
1548327480,2025-06-04T04:01:47.428000,2025-06-04T04:02:33.826000,sell,0.02,0.02,XAUUSD,3358.569,3359.545,3359.44,,-0.22,0,-1.95,,,sl
1546948230,2025-06-03T10:01:49.920000,2025-06-03T10:17:43.142000,sell,0.04,0.04,USOIL,61.966,61.996,61.996,,-0.5,0,-1.2,,,sl
1546521282,2025-06-03T06:02:29.271000,2025-06-03T06:07:37.349000,buy,0.04,0.04,BTCUSD,105481.04,105405.34,105405.34,105926.89,-0.64,0,-3.03,,,sl
1544721052,2025-06-02T09:30:40.800000,2025-06-02T09:31:11.201000,sell,0.03,0.03,XAUUSD,3346.237,3346.1910000000003,3347.577,,-0.33,0,0.14,,,user
1544341580,2025-06-02T06:47:55.350000,2025-06-02T06:56:32.712000,buy,0.04,0.04,BTCUSD,105234.15,105176.42,105158.1,105672.13,-0.64,0,-2.31,,,user
1539262708,2025-05-29T03:46:37.625000,2025-05-29T03:48:02.934000,buy,0.02,0.02,XAUUSD,3278.896,3277.759,3277.759,3286.179,-0.22,0,-2.27,,,sl
1539264519,2025-05-29T03:47:14.070000,2025-05-29T03:48:02.817000,buy,0.01,0.01,XAUUSD,3279.286,3277.798,3277.798,,-0.11,0,-1.49,,,sl
1537552475,2025-05-28T07:46:33.420000,2025-05-28T07:59:25.522000,buy,0.02,0.02,XAUUSD,3318.066,3318.73,3317.289,3327.374,-0.22,0,1.33,,,user
